,Date,Month,Year,Quarter,Time Of Day,Primary Keywords,Secondary Keywords,Long-Tail Keywords,Location,Social Media Source,Media Type,Device Type,Organic_Traffic,Keywords_Ranking,Clicks,Impressions,CTR (%),Average_Position,Backlinks,Domain_Authority,Bounce_Rate (%),Pages_per_Session,Organic_vs_Paid_Traffic_Split (%),Organic_Traffic_Growth_Rate (%),Conversion_Rate (%),Goal_Completions,Average_Session_Duration (sec),New_vs_Returning_Visitors (%),Exit_Rate (%),Top_Landing_Pages,Keyword_Difficulty,CPC_for_Paid_Keywords ($),Indexed_Pages,Mobile_vs_Desktop_Traffic_Split (%),Organic_Revenue ($),Page_Load_Time (sec),Core_Web_Vitals_LCP (sec),Core_Web_Vitals_FID (ms),Core_Web_Vitals_CLS,Social_Shares,Referral_Traffic,Technical_SEO_Errors,Bounce_Rate_by_Device_Mobile (%),Time_to_First_Byte_TTFB (ms)
0,01/01/2020 00:00,January,1764.633111,Q1,Night,eco-friendly accessories,eco-friendly hiking gear,eco-friendly clothing for hikers,Mexico,Pinterest,Blog post,Mobile,6753.434742,70.97692497,1886.495189,35682.57266,2.782956111,40.44991668,181.6682277,37.23539933,37.59552233,4.722870718,47.62999576,32.01564808,5.747691897,206.7757268,189.4849383,40.61652856,9.042637244,Category Page,57.49478368,5.137511066,2686.84852,64.28587403,3131.431506,2.486999048,2.280841872,378.083018,0.245575959,205.660436,2480.67781,11.01968959,42.01897955,395.4968541
1,01/01/2020 01:00,January,1752.608361,Q1,Night,eco-friendly accessories,eco-friendly hiking gear,biodegradable outdoor clothing,Mexico,Twitter,Infographic,Laptop,5500.08864,39.82685517,2455.017707,13095.83618,1.269810109,25.98972863,761.4619836,60.47640303,32.44990529,2.54816125,85.88021341,12.31142693,2.945941275,115.0210812,471.0955347,36.8111525,37.21774789,Homepage,36.88847514,6.479919069,1543.092135,78.3386013,5130.462086,3.579866333,3.670933353,724.7715011,0.157635014,364.6723491,1678.22137,16.55867536,50.3147892,389.2378096
2,01/01/2020 02:00,January,1714.289068,Q1,Night,vegan leather handbags,sustainable activewear,sustainable fashion for athletes,Australia,Instagram,Video,Laptop,1655.330149,82.08896865,2592.011173,24042.20045,2.799171532,29.62465789,152.7532504,34.73720853,44.72390638,3.278055427,61.47561566,5.052074616,10.58809672,86.81695968,78.23088886,68.94997605,13.60415552,Homepage,65.53154511,4.633839062,3979.34125,50.34347945,987.6512113,8.307518034,3.446511182,315.7574154,0.467696528,325.206066,2718.16691,5.802606908,41.11890076,943.6653838
3,01/01/2020 03:00,January,1700.401619,Q1,Night,organic cotton apparel,eco-friendly sportswear,where to buy recycled polyester running shorts,Mexico,TikTok,Product page,Desktop,5470.098387,66.24953173,2503.412146,2608.52112,0.814367399,27.59299492,489.2949205,47.16930808,13.95912999,7.676195875,45.96496375,-4.877751361,3.534202153,377.4021376,85.06791035,51.24886406,31.48440629,Blog Post,49.49886716,1.849577582,633.0726439,57.83568556,1003.307825,4.10251939,1.231582605,716.5157565,0.194108274,111.2097006,2725.341935,5.931708589,44.84747942,997.8208992
4,01/01/2020 04:00,January,1740.788439,Q1,Night,organic cotton apparel,sustainable activewear,eco-friendly clothing for hikers,Germany,YouTube,Image gallery,Laptop,7481.353571,70.23563271,280.8586665,22327.51495,6.820306267,8.487777966,639.426694,11.66541896,66.75719527,3.572266579,50.76131297,33.27703219,6.520685861,107.1543564,151.8223412,60.59298152,22.87168368,Homepage,45.65844961,2.997371815,1317.251937,44.82822151,567.17067,1.586656191,3.027245352,436.1610099,0.216596888,20.44883753,1371.173591,12.31917297,55.68596613,276.1324154
5,01/01/2020 05:00,January,1717.196649,Q1,Night,recycled fabric dresses,eco-friendly sportswear,biodegradable outdoor clothing,United Kingdom,Snapchat,Blog post,Desktop,3630.97792,64.72351093,1367.07786,21330.14947,6.70516136,40.99861711,665.5623042,46.48080444,63.97564134,2.888782463,55.81331379,9.338271395,1.851562686,134.523599,233.1684523,38.62373878,21.67671512,Blog Post,31.94302868,7.920554876,510.8782361,53.11254139,7461.207649,6.455181826,1.785264175,274.5262098,0.189033706,187.4813942,2057.590238,9.188551725,48.37998765,864.5022782
6,01/01/2020 06:00,January,1791.243208,Q1,Morning,organic cotton apparel,athleisure for eco-conscious consumers,carbon-neutral activewear,Canada,TikTok,Video,Mobile,8186.190399,22.13936339,313.3772181,39087.11663,3.030481291,16.40144812,776.5524482,71.48361308,43.12735758,6.501323779,69.42841589,2.531255231,11.81634152,267.3610291,234.7667402,45.42158859,34.4486219,Homepage,64.40546667,1.292581008,430.7877934,73.56913987,769.2981909,4.240386189,2.539527744,377.943909,0.613849456,227.3088345,1669.082195,15.36834773,32.86460638,587.2449363
7,01/01/2020 07:00,January,1634.03116,Q1,Morning,eco-friendly accessories,green fashion trends,best organic cotton t-shirts in the US,United States,Instagram,Video,Tablet,4444.413992,50.08356913,122.7900497,10065.07418,4.932819838,7.590724127,345.343043,28.57558418,33.60257672,3.700727813,80.6454396,2.619879165,10.2035618,174.4767994,165.8876436,39.1413745,30.8133026,Blog Post,44.11435471,7.11229811,2791.917582,53.69031843,7176.487844,8.664733863,1.149937035,780.7116051,0.619144837,60.93673938,1481.379046,0,9.829225623,585.8332857
8,01/01/2020 08:00,January,1672.647658,Q1,Morning,sustainable outdoor gear,green fashion trends,where to buy recycled polyester running shorts,United Kingdom,Snapchat,Video,Laptop,3522.795563,81.27037244,2254.566554,21609.39614,8.058794647,2.845792617,579.4421693,49.6364588,17.62601638,2.538268915,71.26652272,26.55595853,0.535064798,259.8274822,175.5556893,40.84422019,26.68657453,Blog Post,56.78934185,0.603519399,3408.430534,52.43761264,492.7053724,4.874130422,4.077698197,362.3308521,0.77553909,36.57720899,2118.826181,6.500377664,50.5819218,665.7718827
9,01/01/2020 09:00,January,1657.528169,Q1,Morning,organic cotton apparel,ethical fashion brands,eco-friendly clothing for hikers,Germany,YouTube,Video,Tablet,2089.096303,0.872913413,1233.100777,22811.76177,5.877985884,36.27812477,255.5463191,9.452435357,15.06813546,4.198466826,66.12486662,33.66232875,4.100165751,323.5464454,179.9299658,51.22987941,30.26387332,Blog Post,65.63127572,7.381999347,2584.861595,66.26218058,4242.435392,5.671573192,2.335561418,735.6659089,0.122215568,315.7745477,1690.683644,16.02576687,35.15662728,232.6803434
